R		G		B
255		0		255
Count
1
Sprite Info

Index		Name
0			Animation1

			FramesCount
			26

			Animation Info
			LocationX		LocationY		FrameWidth		FrameHeight
			5				5				10				16
			18				5				12				16
			34				5				14				16
			52				5				14				16
			70				5				16				16
			90				5				16				16
			110				5				16				16
			129				5				16				16
			148				5				16				16
			167				5				16				16
			187				5				16				16
			207				5				16				16
			5				26				8				17
			17				26				8				17
			29				26				8				17
			41				26				8				17
			53				26				8				17
			65				26				8				17
			77				26				8				17
			89				26				8				17
			101				26				8				17
			113				26				16				17
			133				26				16				17
			153				26				16				17
			173				26				16				17
			193				26				16				17

