R		G		B
0		255		0
Count
1
Sprite Info

Index		Name
0			Animation1

			FramesCount
			26

			Animation Info
			LocationX		LocationY		FrameWidth		FrameHeight
			5				185				7				7
			13				185				7				7
			21				185				7				7
			29				185				7				7
			37				185				7				7
			45				185				7				7
			53				185				7				7
			61				185				7				7
			71				185				2				7
			78				185				5				7
			85				185				6				7
			94				185				6				7
			101				185				7				7
			109				185				7				7
			117				185				7				7
			125				185				7				7
			133				185				7				7
			141				185				7				7
			149				185				7				7
			5				193				6				7
			13				193				7				7
			21				193				7				7
			29				193				7				7
			37				193				6				7
			45				193				6				7
			53				193				6				7

